film_id	title	description	release_year	language_id	rental_duration	rental_rate	length	replacement_cost	rating	last_update	special_features	fulltext
7	Airplane Sierra	A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat	2006	1	6	0.499e1	62	0.2899e2	PG-13	2013-05-26 14:50:58 +0000	{Trailers,"Deleted Scenes"}	airplan':1 'boat':20 'butler':11,16 'discov':14 'hunter':8 'jet':19 'must':13 'saga':5 'sierra':2 'touch':4
9	Alabama Devil	A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat	2006	1	3	0.299e1	114	0.2199e2	PG-13	2013-05-26 14:50:58 +0000	{Trailers,"Deleted Scenes"}	administr':9 'alabama':1 'boat':23 'databas':8 'devil':2 'jet':22 'mad':12,18 'must':15 'outgun':16 'panorama':5 'scientist':13,19 'thought':4
10	Aladdin Calendar	A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China	2006	1	6	0.499e1	63	0.2499e2	NC-17	2013-05-26 14:50:58 +0000	{Trailers,"Deleted Scenes"}	action':5 'action-pack':4 'aladdin':1 'ancient':20 'calendar':2 'china':21 'feminist':18 'lumberjack':13 'man':10 'must':15 'pack':6 'reach':16 'tale':7
11	Alamo Videotape	A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention	2006	1	6	0.99e0	126	0.1699e2	G	2013-05-26 14:50:58 +0000	{Commentaries,"Behind the Scenes"}	alamo':1 'bore':4 'butler':8 'cat':11 'chef':17 'convent':21 'epistl':5 'fight':14 'must':13 'mysql':20 'pastri':16 'videotap':2
12	Alaska Phantom	A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia	2006	1	6	0.99e0	136	0.2299e2	PG	2013-05-26 14:50:58 +0000	{Commentaries,"Deleted Scenes"}	alaska':1 'australia':19 'boy':17 'chef':12 'fanci':4 'hunter':8 'must':14 'pastri':11 'phantom':2 'saga':5 'vanquish':15
213	Date Speed	A Touching Saga of a Composer And a Moose who must Discover a Dentist in A MySQL Convention	2006	1	4	0.99e0	104	0.1999e2	R	2013-05-26 14:50:58 +0000	{Commentaries}	compos':8 'convent':20 'date':1 'dentist':16 'discov':14 'moos':11 'must':13 'mysql':19 'saga':5 'speed':2 'touch':4
13	Ali Forever	A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies	2006	1	4	0.499e1	150	0.2199e2	PG	2013-05-26 14:50:58 +0000	{"Deleted Scenes","Behind the Scenes"}	action':5 'action-pack':4 'ali':1 'battl':16 'canadian':21 'crocodil':13 'dentist':10 'drama':7 'feminist':18 'forev':2 'must':15 'pack':6 'rocki':22
14	Alice Fantasia	A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia	2006	1	6	0.99e0	94	0.2399e2	NC-17	2013-05-26 14:50:58 +0000	{Trailers,"Deleted Scenes","Behind the Scenes"}	administr':13 'alic':1 'databas':12 'drama':5 'emot':4 'fantasia':2 'georgia':21 'must':15 'pioneer':18 'shark':9 'soviet':20 'vanquish':16
15	Alien Center	A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention	2006	1	5	0.299e1	46	0.1099e2	NC-17	2013-05-26 14:50:58 +0000	{Trailers,Commentaries,"Behind the Scenes"}	alien':1 'battl':15 'brilliant':4 'cat':8 'center':2 'convent':21 'drama':5 'feminist':17 'mad':11 'must':14 'mysql':20 'scientist':12
16	Alley Evolution	A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans	2006	1	6	0.299e1	180	0.2399e2	NC-17	2013-05-26 14:50:58 +0000	{Trailers,Commentaries}	alley':1 'astronaut':18 'battl':16 'compos':13 'drama':7 'evolut':2 'fast':5 'fast-pac':4 'must':15 'new':20 'orlean':21 'pace':6 'robot':10
17	Alone Trip	A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House	2006	1	3	0.99e0	82	0.1499e2	R	2013-05-26 14:50:58 +0000	{Trailers,"Behind the Scenes"}	abandon':22 'alon':1 'boat':19 'charact':7 'compos':11 'dog':14 'fast':5 'fast-pac':4 'fun':23 'hous':24 'must':16 'outgun':17 'pace':6 'studi':8 'trip':2
18	Alter Victory	A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies	2006	1	6	0.99e0	57	0.2799e2	PG-13	2013-05-26 14:50:58 +0000	{Trailers,"Behind the Scenes"}	agent':17 'alter':1 'canadian':20 'compos':8 'drama':5 'feminist':11 'meet':14 'must':13 'rocki':21 'secret':16 'thought':4 'victori':2
19	Amadeus Holy	A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon	2006	1	6	0.99e0	113	0.2099e2	PG	2013-05-26 14:50:58 +0000	{Commentaries,"Deleted Scenes","Behind the Scenes"}	amadeus':1 'baloon':20 'battl':15 'display':5 'emot':4 'holi':2 'man':17 'must':14 'pioneer':8 'technic':11 'writer':12
20	Amelie Hellfighters	A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon	2006	1	4	0.499e1	79	0.2399e2	R	2013-05-26 14:50:58 +0000	{Commentaries,"Deleted Scenes","Behind the Scenes"}	ameli':1 'baloon':19 'bore':4 'conquer':14 'drama':5 'hellfight':2 'must':13 'squirrel':11 'student':16 'woman':8
21	American Circus	A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank	2006	1	3	0.499e1	129	0.1799e2	R	2013-05-26 14:50:58 +0000	{Commentaries,"Behind the Scenes"}	administr':17 'american':1 'astronaut':11 'circus':2 'databas':16 'drama':5 'face':14 'girl':8 'insight':4 'must':13 'shark':20 'tank':21
22	Amistad Midsummer	A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California	2006	1	6	0.299e1	85	0.1099e2	G	2013-05-26 14:50:58 +0000	{Commentaries,"Behind the Scenes"}	amistad':1 'california':20 'charact':5 'crocodil':12 'dentist':9 'emot':4 'meet':15 'midsumm':2 'must':14 'studi':6 'sumo':17 'wrestler':18
23	Anaconda Confessions	A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia	2006	1	3	0.99e0	92	0.999e1	R	2013-05-26 14:50:58 +0000	{Trailers,"Deleted Scenes"}	anaconda':1 'australia':18 'confess':2 'dentist':8,11 'display':5 'fight':14 'girl':16 'lacklustur':4 'must':13
24	Analyze Hoosiers	A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert	2006	1	6	0.299e1	181	0.1999e2	R	2013-05-26 14:50:58 +0000	{Trailers,"Behind the Scenes"}	analyz':1 'chef':12 'desert':21 'display':5 'explor':8 'feminist':17 'hoosier':2 'must':14 'overcom':15 'pastri':11 'sahara':20 'thought':4
25	Angels Life	A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin	2006	1	3	0.299e1	74	0.1599e2	G	2013-05-26 14:50:58 +0000	{Trailers}	angel':1 'astronaut':11 'battl':14 'berlin':18 'display':5 'life':2 'must':13 'robot':16 'thought':4 'woman':8
26	Annie Identity	A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park	2006	1	3	0.99e0	86	0.1599e2	G	2013-05-26 14:50:58 +0000	{Commentaries,"Deleted Scenes"}	abandon':20 'amaz':4 'amus':21 'anni':1 'boat':12 'chef':9 'escap':15 'ident':2 'must':14 'panorama':5 'park':22 'pastri':8 'woman':17
27	Anonymous Human	A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank	2006	1	7	0.99e0	179	0.1299e2	NC-17	2013-05-26 14:50:58 +0000	{"Deleted Scenes","Behind the Scenes"}	administr':9,18 'amaz':4 'anonym':1 'astronaut':12 'databas':8,17 'human':2 'must':14 'outrac':15 'reflect':5 'shark':21 'tank':22
28	Anthem Luke	A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park	2006	1	5	0.499e1	91	0.1699e2	PG-13	2013-05-26 14:50:58 +0000	{"Deleted Scenes","Behind the Scenes"}	abandon':19 'amus':20 'anthem':1 'dog':16 'luke':2 'must':13 'outrac':14 'panorama':5 'park':21 'touch':4 'waitress':8 'woman':11
29	Antitrust Tomatoes	A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India	2006	1	5	0.299e1	168	0.1199e2	NC-17	2013-05-26 14:50:58 +0000	{Trailers,Commentaries,"Deleted Scenes"}	administr':17 'ancient':19 'antitrust':1 'databas':16 'fate':4 'feminist':11 'india':20 'must':13 'succumb':14 'tomato':2 'woman':8 'yarn':5
30	Anything Savannah	A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House	2006	1	4	0.299e1	82	0.2799e2	R	2013-05-26 14:50:58 +0000	{Trailers,"Deleted Scenes","Behind the Scenes"}	abandon':20 'anyth':1 'chase':15 'chef':9 'epic':4 'feminist':17 'fun':21 'hous':22 'must':14 'pastri':8 'savannah':2 'stori':5 'woman':12
31	Apache Divine	A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat	2006	1	5	0.499e1	92	0.1699e2	NC-17	2013-05-26 14:50:58 +0000	{Commentaries,"Deleted Scenes","Behind the Scenes"}	apach':1 'awe':5 'awe-inspir':4 'boat':25 'chef':11 'divin':2 'inspir':6 'must':16 'overcom':17 'pastri':10 'reflect':7 'sumo':19 'teacher':14 'u':24 'u-boat':23 'wrestler':20
32	Apocalypse Flamingos	A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park	2006	1	6	0.499e1	119	0.1199e2	R	2013-05-26 14:50:58 +0000	{Trailers,Commentaries}	abandon':19 'amus':20 'apocalyps':1 'astound':4 'defeat':14 'dog':8 'flamingo':2 'must':13 'park':21 'squirrel':11 'stori':5 'woman':16
33	Apollo Teen	A Action-Packed Reflection of a Crocodile And a Explorer who must Find a Sumo Wrestler in An Abandoned Mine Shaft	2006	1	5	0.299e1	153	0.1599e2	PG-13	2013-05-26 14:50:58 +0000	{Trailers,Commentaries,"Deleted Scenes","Behind the Scenes"}	abandon':22 'action':5 'action-pack':4 'apollo':1 'crocodil':10 'explor':13 'find':16 'mine':23 'must':15 'pack':6 'reflect':7 'shaft':24 'sumo':18 'teen':2 'wrestler':19
34	Arabia Dogma	A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria	2006	1	6	0.99e0	62	0.2999e2	NC-17	2013-05-26 14:50:58 +0000	{Commentaries,"Deleted Scenes"}	arabia':1 'cow':12 'defeat':15 'dogma':2 'epistl':5 'mad':11 'madman':8 'must':14 'nigeria':19 'student':17 'touch':4
35	Arachnophobia Rollercoaster	A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station	2006	1	4	0.299e1	147	0.2499e2	PG-13	2013-05-26 14:50:58 +0000	{Trailers,"Deleted Scenes","Behind the Scenes"}	action':5 'action-pack':4 'arachnophobia':1 'chef':11 'compos':14 'discov':17 'first':23 'mad':19 'man':24 'must':16 'pack':6 'pastri':10 'reflect':7 'rollercoast':2 'scientist':20 'space':25 'station':26
36	Argonauts Town	A Emotional Epistle of a Forensic Psychologist And a Butler who must Challenge a Waitress in An Abandoned Mine Shaft	2006	1	7	0.99e0	127	0.1299e2	PG-13	2013-05-26 14:50:58 +0000	{Trailers,Commentaries}	abandon':20 'argonaut':1 'butler':12 'challeng':15 'emot':4 'epistl':5 'forens':8 'mine':21 'must':14 'psychologist':9 'shaft':22 'town':2 'waitress':17
37	Arizona Bang	A Brilliant Panorama of a Mad Scientist And a Mad Cow who must Meet a Pioneer in A Monastery	2006	1	3	0.299e1	121	0.2899e2	PG	2013-05-26 14:50:58 +0000	{Trailers,"Deleted Scenes"}	arizona':1 'bang':2 'brilliant':4 'cow':13 'mad':8,12 'meet':16 'monasteri':21 'must':15 'panorama':5 'pioneer':18 'scientist':9
38	Ark Ridgemont	A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert	2006	1	6	0.99e0	68	0.2599e2	NC-17	2013-05-26 14:50:58 +0000	{Trailers,Commentaries,"Deleted Scenes","Behind the Scenes"}	ark':1 'beauti':4 'desert':20 'explor':16 'monkey':11 'must':13 'pioneer':8 'pursu':14 'ridgemont':2 'sahara':19 'yarn':5
39	Armageddon Lost	A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft	2006	1	5	0.99e0	99	0.1099e2	G	2013-05-26 14:50:58 +0000	{Trailers}	abandon':21 'armageddon':1 'boat':10 'compos':18 'fast':5 'fast-pac':4 'lost':2 'mine':22 'must':15 'pace':6 'shaft':23 'succumb':16 'tale':7 'teacher':13
40	Army Flintstones	A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria	2006	1	4	0.99e0	148	0.2299e2	R	2013-05-26 14:50:58 +0000	{Trailers,Commentaries}	administr':9 'armi':1 'battl':15 'bore':4 'databas':8 'flintston':2 'must':14 'nigeria':19 'saga':5 'waitress':17 'woman':12
41	Arsenic Independence	A Fanciful Documentary of a Mad Cow And a Womanizer who must Find a Dentist in Berlin	2006	1	4	0.99e0	137	0.1799e2	PG	2013-05-26 14:50:58 +0000	{Trailers,"Deleted Scenes","Behind the Scenes"}	arsenic':1 'berlin':19 'cow':9 'dentist':17 'documentari':5 'fanci':4 'find':15 'independ':2 'mad':8 'must':14 'woman':12
42	Artist Coldblooded	A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California	2006	1	5	0.299e1	170	0.1099e2	NC-17	2013-05-26 14:50:58 +0000	{Trailers,"Behind the Scenes"}	artist':1 'california':18 'challeng':14 'coldblood':2 'moos':11 'must':13 'reflect':5 'robot':8 'stun':4 'woman':16
265	Dying Maker	A Intrepid Tale of a Boat And a Monkey who must Kill a Cat in California	2006	1	5	0.499e1	168	0.2899e2	PG	2013-05-26 14:50:58 +0000	{"Behind the Scenes"}	boat':8 'california':18 'cat':16 'die':1 'intrepid':4 'kill':14 'maker':2 'monkey':11 'must':13 'tale':5
43	Atlantis Cause	A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank	2006	1	6	0.299e1	170	0.1599e2	G	2013-05-26 14:50:58 +0000	{"Behind the Scenes"}	atlanti':1 'caus':2 'feminist':8 'fight':14 'hunter':11 'must':13 'shark':20 'tank':21 'technic':16 'thrill':4 'writer':17 'yarn':5
44	Attacks Hate	A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft	2006	1	5	0.499e1	113	0.2199e2	PG-13	2013-05-26 14:50:58 +0000	{Trailers,"Behind the Scenes"}	abandon':23 'attack':1 'fast':5 'fast-pac':4 'feminist':20 'find':18 'hate':2 'mad':14 'mine':24 'must':17 'pace':6 'panorama':7 'scientist':15 'shaft':25 'technic':10 'writer':11
45	Attraction Newton	A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan	2006	1	5	0.499e1	83	0.1499e2	PG-13	2013-05-26 14:50:58 +0000	{Trailers,"Behind the Scenes"}	ancient':18 'astound':4 'attract':1 'compos':8 'frisbe':11 'husband':16 'japan':19 'must':13 'newton':2 'panorama':5 'reach':14
46	Autumn Crow	A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert	2006	1	3	0.499e1	108	0.1399e2	G	2013-05-26 14:50:58 +0000	{Trailers,Commentaries,"Deleted Scenes","Behind the Scenes"}	autumn':1 'battl':15 'beauti':4 'cow':12 'crow':2 'dentist':8 'desert':21 'mad':11 'moos':17 'must':14 'sahara':20 'tale':5
47	Baby Hall	A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft	2006	1	5	0.499e1	153	0.2399e2	NC-17	2013-05-26 14:50:58 +0000	{Commentaries}	abandon':21 'babi':1 'bore':4 'charact':5 'feminist':18 'girl':13 'hall':2 'mine':22 'must':15 'outrac':16 'shaft':23 'shark':10 'studi':6
48	Backlash Undefeated	A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery	2006	1	3	0.499e1	118	0.2499e2	PG-13	2013-05-26 14:50:58 +0000	{Trailers,"Behind the Scenes"}	backlash':1 'car':19 'charact':5 'cow':14 'kill':17 'mad':9,13 'monasteri':22 'must':16 'scientist':10 'studi':6 'stun':4 'undef':2
49	Badman Dawn	A Emotional Panorama of a Pioneer And a Composer who must Escape a Mad Scientist in A Jet Boat	2006	1	6	0.299e1	162	0.2299e2	R	2013-05-26 14:50:58 +0000	{Trailers,Commentaries,"Behind the Scenes"}	badman':1 'boat':21 'compos':11 'dawn':2 'emot':4 'escap':14 'jet':20 'mad':16 'must':13 'panorama':5 'pioneer':8 'scientist':17
50	Baked Cleopatra	A Stunning Drama of a Forensic Psychologist And a Husband who must Overcome a Waitress in A Monastery	2006	1	3	0.299e1	182	0.2099e2	G	2013-05-26 14:50:58 +0000	{Commentaries,"Behind the Scenes"}	bake':1 'cleopatra':2 'drama':5 'forens':8 'husband':12 'monasteri':20 'must':14 'overcom':15 'psychologist':9 'stun':4 'waitress':17
126	Casualties Encino	A Insightful Yarn of a A Shark And a Pastry Chef who must Face a Boy in A Monastery	2006	1	3	0.499e1	179	0.1699e2	G	2013-05-26 14:50:58 +0000	{Trailers}	boy':18 'casualti':1 'chef':13 'encino':2 'face':16 'insight':4 'monasteri':21 'must':15 'pastri':12 'shark':9 'yarn':5
51	Balloon Homeward	A Insightful Panorama of a Forensic Psychologist And a Mad Cow who must Build a Mad Scientist in The First Manned Space Station	2006	1	5	0.299e1	75	0.1099e2	NC-17	2013-05-26 14:50:58 +0000	{"Deleted Scenes"}	balloon':1 'build':16 'cow':13 'first':22 'forens':8 'homeward':2 'insight':4 'mad':12,18 'man':23 'must':15 'panorama':5 'psychologist':9 'scientist':19 'space':24 'station':25
52	Ballroom Mockingbird	A Thrilling Documentary of a Composer And a Monkey who must Find a Feminist in California	2006	1	6	0.99e0	173	0.2999e2	G	2013-05-26 14:50:58 +0000	{Commentaries,"Deleted Scenes"}	ballroom':1 'california':18 'compos':8 'documentari':5 'feminist':16 'find':14 'mockingbird':2 'monkey':11 'must':13 'thrill':4
53	Bang Kwai	A Epic Drama of a Madman And a Cat who must Face a A Shark in An Abandoned Amusement Park	2006	1	5	0.299e1	87	0.2599e2	NC-17	2013-05-26 14:50:58 +0000	{Commentaries,"Deleted Scenes","Behind the Scenes"}	abandon':20 'amus':21 'bang':1 'cat':11 'drama':5 'epic':4 'face':14 'kwai':2 'madman':8 'must':13 'park':22 'shark':17
54	Banger Pinocchio	A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station	2006	1	5	0.99e0	113	0.1599e2	R	2013-05-26 14:50:58 +0000	{Trailers,Commentaries,"Deleted Scenes"}	awe':5 'awe-inspir':4 'banger':1 'car':10 'chase':17 'chef':14 'crocodil':19 'drama':7 'first':22 'inspir':6 'man':23 'must':16 'pastri':13 'pinocchio':2 'space':24 'station':25
55	Barbarella Streetcar	A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery	2006	1	6	0.299e1	65	0.2799e2	G	2013-05-26 14:50:58 +0000	{"Behind the Scenes"}	awe':5 'awe-inspir':4 'barbarella':1 'cat':13 'conquer':16 'dog':18 'feminist':10 'inspir':6 'monasteri':21 'must':15 'stori':7 'streetcar':2
56	Barefoot Manchurian	A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park	2006	1	6	0.299e1	129	0.1599e2	G	2013-05-26 14:50:58 +0000	{Trailers,Commentaries}	abandon':19 'amus':20 'barefoot':1 'cat':8 'girl':16 'intrepid':4 'manchurian':2 'must':13 'park':21 'stori':5 'student':11 'vanquish':14
57	Basic Easy	A Stunning Epistle of a Man And a Husband who must Reach a Mad Scientist in A Jet Boat	2006	1	4	0.299e1	90	0.1899e2	PG-13	2013-05-26 14:50:58 +0000	{"Deleted Scenes"}	basic':1 'boat':21 'easi':2 'epistl':5 'husband':11 'jet':20 'mad':16 'man':8 'must':13 'reach':14 'scientist':17 'stun':4
58	Beach Heartbreakers	A Fateful Display of a Womanizer And a Mad Scientist who must Outgun a A Shark in Soviet Georgia	2006	1	6	0.299e1	122	0.1699e2	G	2013-05-26 14:50:58 +0000	{"Deleted Scenes","Behind the Scenes"}	beach':1 'display':5 'fate':4 'georgia':21 'heartbreak':2 'mad':11 'must':14 'outgun':15 'scientist':12 'shark':18 'soviet':20 'woman':8
59	Bear Graceland	A Astounding Saga of a Dog And a Boy who must Kill a Teacher in The First Manned Space Station	2006	1	4	0.299e1	160	0.2099e2	R	2013-05-26 14:50:58 +0000	{"Deleted Scenes"}	astound':4 'bear':1 'boy':11 'dog':8 'first':19 'graceland':2 'kill':14 'man':20 'must':13 'saga':5 'space':21 'station':22 'teacher':16
60	Beast Hunchback	A Awe-Inspiring Epistle of a Student And a Squirrel who must Defeat a Boy in Ancient China	2006	1	3	0.499e1	89	0.2299e2	R	2013-05-26 14:50:58 +0000	{"Deleted Scenes","Behind the Scenes"}	ancient':20 'awe':5 'awe-inspir':4 'beast':1 'boy':18 'china':21 'defeat':16 'epistl':7 'hunchback':2 'inspir':6 'must':15 'squirrel':13 'student':10
61	Beauty Grease	A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft	2006	1	5	0.499e1	175	0.2899e2	G	2013-05-26 14:50:58 +0000	{Trailers,Commentaries}	abandon':21 'beauti':1 'compos':10 'display':7 'fast':5 'fast-pac':4 'greas':2 'mine':22 'moos':13 'must':15 'pace':6 'robot':18 'shaft':23 'sink':16
62	Bed Highball	A Astounding Panorama of a Lumberjack And a Dog who must Redeem a Woman in An Abandoned Fun House	2006	1	5	0.299e1	106	0.2399e2	NC-17	2013-05-26 14:50:58 +0000	{Trailers,Commentaries,"Deleted Scenes"}	abandon':19 'astound':4 'bed':1 'dog':11 'fun':20 'highbal':2 'hous':21 'lumberjack':8 'must':13 'panorama':5 'redeem':14 'woman':16
63	Bedazzled Married	A Astounding Character Study of a Madman And a Robot who must Meet a Mad Scientist in An Abandoned Fun House	2006	1	6	0.99e0	73	0.2199e2	PG	2013-05-26 14:50:58 +0000	{Trailers,"Deleted Scenes","Behind the Scenes"}	abandon':21 'astound':4 'bedazzl':1 'charact':5 'fun':22 'hous':23 'mad':17 'madman':9 'marri':2 'meet':15 'must':14 'robot':12 'scientist':18 'studi':6
64	Beethoven Exorcist	A Epic Display of a Pioneer And a Student who must Challenge a Butler in The Gulf of Mexico	2006	1	6	0.99e0	151	0.2699e2	PG-13	2013-05-26 14:50:58 +0000	{Commentaries,"Behind the Scenes"}	beethoven':1 'butler':16 'challeng':14 'display':5 'epic':4 'exorcist':2 'gulf':19 'mexico':21 'must':13 'pioneer':8 'student':11
65	Behavior Runaway	A Unbelieveable Drama of a Student And a Husband who must Outrace a Sumo Wrestler in Berlin	2006	1	3	0.499e1	100	0.2099e2	PG	2013-05-26 14:50:58 +0000	{Trailers,"Deleted Scenes","Behind the Scenes"}	behavior':1 'berlin':19 'drama':5 'husband':11 'must':13 'outrac':14 'runaway':2 'student':8 'sumo':16 'unbeliev':4 'wrestler':17
66	Beneath Rush	A Astounding Panorama of a Man And a Monkey who must Discover a Man in The First Manned Space Station	2006	1	6	0.99e0	53	0.2799e2	NC-17	2013-05-26 14:50:58 +0000	{Commentaries,"Deleted Scenes"}	astound':4 'beneath':1 'discov':14 'first':19 'man':8,16,20 'monkey':11 'must':13 'panorama':5 'rush':2 'space':21 'station':22
67	Berets Agent	A Taut Saga of a Crocodile And a Boy who must Overcome a Technical Writer in Ancient China	2006	1	5	0.299e1	77	0.2499e2	PG-13	2013-05-26 14:50:58 +0000	{"Deleted Scenes"}	agent':2 'ancient':19 'beret':1 'boy':11 'china':20 'crocodil':8 'must':13 'overcom':14 'saga':5 'taut':4 'technic':16 'writer':17
